user_id,post_id,likes,time
5630155732,2667255802274097407,92329,1632181690
5630155732,2657655944777117333,102706,1631037298
5630155732,2655447344599154985,94790,1630774013
5630155732,2653293066322201608,19611,1630517258
5630155732,2651913582551592337,82704,1630352771
5630155732,2648268666567079084,94111,1629918248
5630155732,2633028254191430043,72944,1628101449
5630155732,2629582086794063204,61277,1627690634
5630155732,2627395305656513015,96427,1627429949
5630155732,2622891700534456009,92332,1626893077
5630155732,2618601178159438182,34821,1626381692
5630155732,2596107343517093843,35713,1623700196
5630155732,2593226113252413248,370850,1623356664
5630155732,2588017496865751813,61371,1622735748
5630155732,2530126175098879617,122475,1615834565
5630155732,2529492185874549370,83527,1615758988
5630155732,2527136130352012128,97968,1615478124
5630155732,2526502494949622953,35476,1615405266
5630155732,2516418817172450197,96010,1614200521
5630155732,2516269161208261166,52189,1614183590
5630155732,2513339049845801825,95765,1613833384
5630155732,2510388360874177680,157255,1613481634
5630155732,2509328836591555439,232847,1613355329
5630155732,2496822587240119422,64987,1611864503
5630155732,2496066972747062611,78321,1611774392
5630155732,2492414522643298998,428158,1611338986
5630155732,2454049098274361671,95998,1606765471
5630155732,2449664286293978972,186194,1606242760
5630155732,2449064069068585491,42582,1606171209
5630155732,2446167431924698388,279311,1605825903
5630155732,2440970138961089655,44301,1605206379
5630155732,2440270976710287625,139764,1605122991
5630155732,2423678506581010099,105119,1603145014
5630155732,2399040486405923528,414377,1600207933
5630155732,2396701096950198916,48185,1599929085
5630155732,2395267994801435137,100038,1599758217
5630155732,2390968217393872369,44562,1599245803
5630155732,2387309881657972908,404513,1598809579
5630155732,2382283536737714827,54527,1598210579
5630155732,2380867577741189741,36214,1598041840
5630155732,2380019739251647489,130700,1597940483
5630155732,2379309816265664254,60985,1597856006
5630155732,2317923186877955368,103481,1590538093
5630155732,2280687089408323133,458263,1586099133
5630155732,2248187821670097108,295754,1582224894
5630155732,2243848902354757775,99541,1581707704
5630155732,2243691215516105997,372607,1581688857
5630155732,2240619053687255375,136431,1581322627
5630155732,2200428533023573386,185398,1576531640
5630155732,2197393305011026449,352606,1576169716
